Id,Category
0,0
1,10
2,0
3,9
4,7
5,3
6,9
7,3
8,1
9,2
10,0
11,0
12,0
13,10
14,0
15,4
16,9
17,4
18,5
19,9
20,3
21,5
22,1
23,3
24,9
25,3
26,8
27,4
28,9
29,8
30,2
31,9
32,2
33,2
34,5
35,2
36,5
37,10
38,10
39,2
40,6
41,2
42,2
43,2
44,5
45,1
46,10
47,3
48,0
49,9
50,10
51,1
52,3
53,3
54,0
55,8
56,0
57,9
58,6
59,9
60,5
61,8
62,2
63,3
64,10
65,8
66,2
67,9
68,4
69,10
70,5
71,5
72,5
73,10
74,4
75,6
76,4
77,1
78,2
79,9
80,0
81,3
82,4
83,8
84,3
85,0
86,0
87,5
88,10
89,9
90,0
91,4
92,4
93,5
94,0
95,6
96,9
97,9
98,6
99,10
100,2
101,2
102,5
103,2
104,4
105,7
106,6
107,5
108,9
109,3
110,5
111,5
112,4
113,2
114,9
115,4
116,9
117,0
118,9
119,3
120,4
121,5
122,3
123,4
124,0
125,2
126,0
127,8
128,10
129,9
130,5
131,3
132,3
133,3
134,9
135,1
136,3
137,10
138,3
139,0
140,2
141,4
142,2
143,5
144,9
145,0
146,9
147,5
148,8
149,2
150,5
151,4
152,9
153,2
154,2
155,1
156,2
157,9
158,8
159,4
160,5
161,2
162,5
163,5
164,2
165,0
166,5
167,8
168,3
169,9
170,8
171,2
172,2
173,4
174,1
175,2
176,9
177,10
178,8
179,6
180,1
181,2
182,9
183,5
184,0
185,9
186,2
187,2
188,2
189,4
190,1
191,3
192,2
193,0
194,5
195,0
196,8
197,9
198,4
199,2
200,9
201,2
202,5
203,9
204,4
205,0
206,7
207,9
208,10
209,9
210,2
211,5
212,2
213,2
214,2
215,0
216,10
217,3
218,9
219,0
220,5
221,2
222,2
223,0
224,5
225,5
226,9
227,9
228,6
229,3
230,0
231,9
232,7
233,2
234,2
235,9
236,0
237,10
238,0
239,0
240,0
241,3
242,2
243,4
244,2
245,8
246,0
247,9
248,8
249,0
250,9
251,3
252,5
253,9
254,5
255,0
256,2
257,9
258,0
259,0
260,8
261,2
262,8
263,4
264,5
265,9
266,1
267,3
268,3
269,9
270,9
271,2
272,8
273,5
274,5
275,2
276,9
277,2
278,2
279,9
280,9
281,9
282,2
283,0
284,10
285,0
286,2
287,4
288,1
289,7
290,9
291,0
292,8
293,10
294,2
295,6
296,7
297,0
298,8
299,5
300,2
301,9
302,0
303,1
304,5
305,10
306,2
307,0
308,9
309,1
310,9
311,0
312,2
313,8
314,2
315,8
316,9
317,0
318,5
319,9
320,1
321,2
322,5
323,0
324,4
325,2
326,5
327,7
328,10
329,0
330,0
331,0
332,6
333,9
334,4
335,2
336,3
337,2
338,5
339,10
340,9
341,6
342,5
343,3
344,5
345,5
346,0
347,6
348,4
349,9
350,5
351,0
352,6
353,2
354,6
355,2
356,0
357,10
358,10
359,4
360,0
361,5
362,10
363,2
364,3
365,5
366,4
367,0
368,4
369,3
370,9
371,4
372,4
373,4
374,0
375,0
376,9
377,9
378,8
379,5
380,10
381,2
382,0
383,2
384,0
385,0
386,0
387,10
388,10
389,3
390,4
391,3
392,8
393,8
394,2
395,0
396,8
397,8
398,2
399,9
400,9
401,2
402,9
403,9
404,0
405,3
406,8
407,5
408,5
409,4
410,9
411,0
412,0
413,9
414,3
415,6
416,9
417,4
418,2
419,2
420,5
421,2
422,0
423,5
424,3
425,8
426,3
427,9
428,9
429,9
430,5
431,5
432,0
433,5
434,3
435,2
436,8
437,10
438,2
439,2
440,8
441,2
442,2
443,0
444,2
445,3
446,5
447,10
448,0
449,9
450,4
451,9
452,0
453,9
454,6
455,6
456,6
457,5
458,8
459,10
460,10
461,9
462,10
463,4
464,2
465,9
466,7
467,7
468,9
469,0
470,5
471,4
472,8
473,2
474,9
475,8
476,7
477,2
478,0
479,0
480,2
481,0
482,3
483,2
484,10
485,2
486,0
487,9
488,5
489,9
490,0
491,0
492,7
493,2
494,5
495,8
496,8
497,8
498,2
499,10
500,9
501,1
502,5
503,2
504,4
505,0
506,7
507,8
508,10
509,10
510,2
511,6
512,9
513,4
514,0
515,2
516,9
517,9
518,5
519,3
520,2
521,3
522,7
523,1
524,0
525,2
526,9
527,9
528,6
529,0
530,4
531,1
532,0
533,3
534,2
535,10
536,2
537,0
538,8
539,0
540,1
541,2
542,5
543,0
544,9
545,8
546,0
547,5
548,3
549,5
550,9
551,5
552,2
553,5
554,4
555,8
556,9
557,5
558,9
559,5
560,9
561,2
562,2
563,8
564,0
565,9
566,5
567,1
568,5
569,9
570,9
571,0
572,0
573,5
574,8
575,0
576,8
577,0
578,8
579,2
580,9
581,5
582,9
583,9
584,0
585,6
586,2
587,2
588,0
589,5
590,4
591,4
592,4
593,5
594,2
595,9
596,5
597,0
598,4
599,4
600,5
601,3
602,0
603,6
604,0
605,9
606,9
607,4
608,5
609,1
610,5
611,3
612,2
613,0
614,2
615,10
616,8
617,9
618,0
619,9
620,7
621,6
622,4
623,5
624,9
625,3
626,3
627,8
628,0
629,6
630,0
631,9
632,5
633,2
634,4
635,3
636,9
637,1
638,5
639,3
640,10
641,3
642,9
643,2
644,9
645,2
646,6
647,2
648,5
649,0
650,7
651,10
652,8
653,5
654,2
655,5
656,5
657,5
658,2
659,0
660,2
661,6
662,0
663,9
664,9
665,2
666,0
667,2
668,9
669,0
670,0
671,9
672,2
673,0
674,5
675,8
676,1
677,0
678,5
679,2
680,2
681,3
682,2
683,2
684,8
685,0
686,0
687,0
688,10
689,6
690,8
691,9
692,2
693,5
694,4
695,3
696,6
697,8
698,0
699,9
700,0
701,0
702,10
703,0
704,2
705,10
706,8
707,0
708,5
709,9
710,8
711,8
712,6
713,9
714,6
715,0
716,0
717,5
718,4
719,9
720,7
721,6
722,4
723,10
724,9
725,4
726,5
727,3
728,5
729,3
730,8
731,0
732,2
733,5
734,0
735,1
736,3
737,0
738,0
739,7
740,3
741,3
742,0
743,3
744,7
745,2
746,2
747,2
748,6
749,8
750,4
751,2
752,6
753,5
754,8
755,0
756,8
757,10
758,9
759,8
760,2
761,0
762,0
763,5
764,1
765,3
766,2
767,9
768,4
769,10
770,2
771,4
772,8
773,5
774,3
775,2
776,3
777,5
778,5
779,4
780,4
781,8
782,5
783,9
784,8
785,8
786,0
787,0
788,8
789,10
790,0
791,8
792,7
793,9
794,7
795,9
796,9
797,2
798,0
799,2
800,4
801,1
802,0
803,8
804,0
805,3
806,10
807,8
808,10
809,4
810,9
811,9
812,3
813,5
814,4
815,4
816,5
817,2
818,0
819,0
820,10
821,8
822,9
823,10
824,0
825,3
826,4
827,2
828,9
829,0
830,0
831,3
832,8
833,2
834,9
835,6
836,5
837,3
838,2
839,3
840,5
841,10
842,5
843,0
844,8
845,2
846,3
847,4
848,3
849,8
850,5
851,9
852,4
853,3
854,10
855,10
856,10
857,10
858,3
859,2
860,1
861,0
862,2
863,9
864,3
865,4
866,9
867,0
868,8
869,2
870,0
871,4
872,5
873,6
874,9
875,3
876,8
877,2
878,5
879,10
880,5
881,5
882,9
883,6
884,5
885,8
886,0
887,4
888,5
889,5
890,0
891,2
892,5
893,6
894,0
895,5
896,3
897,4
898,4
899,5
900,6
901,10
902,8
903,2
904,5
905,0
906,0
907,5
908,9
909,9
910,10
911,2
912,4
913,2
914,4
915,3
916,5
917,3
918,9
919,5
920,0
921,4
922,8
923,9
924,9
925,4
926,5
927,0
928,4
929,9
930,9
931,0
932,2
933,4
934,9
935,5
936,1
937,9
938,2
939,2
940,9
941,0
942,3
943,10
944,4
945,10
946,7
947,1
948,7
949,2
950,0
951,10
952,9
953,9
954,2
955,2
956,6
957,6
958,8
959,4
960,2
961,0
962,5
963,3
964,5
965,0
966,4
967,5
968,2
969,4
970,2
971,0
972,2
973,9
974,3
975,4
976,2
977,5
978,5
979,0
980,3
981,0
982,0
983,9
984,0
985,2
986,8
987,2
988,8
989,0
990,5
991,7
992,8
993,7
994,9
995,8
996,4
997,5
998,9
999,4
1000,9
1001,2
1002,10
1003,6
1004,2
1005,7
1006,0
1007,5
1008,1
1009,5
1010,5
1011,3
1012,6
1013,5
1014,0
1015,10
1016,0
1017,5
1018,9
1019,9
1020,8
1021,9
1022,5
1023,2
1024,9
1025,2
1026,10
1027,0
1028,2
1029,5
1030,10
1031,4
1032,7
1033,2
1034,9
1035,8
1036,5
1037,5
1038,5
1039,8
1040,9
1041,8
1042,9
1043,2
1044,0
1045,9
1046,2
1047,5
1048,4
1049,9
1050,3
1051,3
1052,9
1053,0
1054,8
1055,4
1056,0
1057,5
1058,3
1059,9
1060,10
1061,10
1062,5
1063,3
1064,9
1065,5
1066,4
1067,0
1068,4
1069,9
1070,9
1071,6
1072,3
1073,9
1074,10
1075,0
1076,8
1077,5
1078,4
1079,10
1080,9
1081,5
1082,0
1083,9
1084,5
1085,1
1086,3
1087,5
1088,0
1089,0
1090,1
1091,6
1092,1
1093,0
1094,5
1095,2
1096,10
1097,2
1098,3
1099,6
1100,2
1101,9
1102,5
1103,4
1104,6
1105,2
1106,9
1107,10
1108,8
1109,9
1110,0
1111,9
1112,2
1113,9
1114,3
1115,3
1116,9
1117,5
1118,5
1119,5
1120,0
1121,9
1122,0
1123,0
1124,2
1125,9
1126,6
1127,3
1128,2
1129,4
1130,0
1131,9
1132,2
1133,0
1134,4
1135,8
1136,9
1137,9
1138,0
1139,0
1140,9
1141,3
1142,9
1143,5
1144,2
1145,0
1146,0
1147,10
1148,0
1149,10
1150,0
1151,2
1152,4
1153,4
1154,9
1155,9
1156,5
1157,5
1158,2
1159,1
1160,1
1161,5
1162,2
1163,9
1164,10
1165,2
1166,0
1167,5
1168,2
1169,5
1170,4
1171,9
1172,9
1173,2
1174,8
1175,0
1176,10
1177,2
1178,4
1179,4
1180,0
1181,6
1182,0
1183,5
1184,1
1185,0
1186,0
1187,5
1188,2
1189,9
1190,7
1191,8
1192,8
1193,6
1194,10
1195,3
1196,0
1197,5
1198,0
1199,9
1200,5
1201,0
1202,2
1203,3
1204,8
1205,5
1206,8
1207,9
1208,9
1209,3
1210,9
1211,10
1212,5
1213,10
1214,9
1215,2
1216,8
1217,10
1218,0
1219,9
1220,7
1221,5
1222,10
1223,2
1224,9
1225,7
1226,0
1227,6
1228,1
1229,9
1230,2
1231,0
1232,10
1233,5
1234,9
1235,8
1236,4
1237,0
1238,9
1239,9
1240,2
1241,3
1242,0
1243,9
1244,9
1245,8
1246,4
1247,5
1248,3
1249,5
1250,8
1251,9
1252,10
1253,0
1254,5
1255,8
1256,4
1257,10
1258,5
1259,1
1260,2
1261,2
1262,0
1263,8
1264,4
1265,9
1266,5
1267,3
1268,8
1269,8
1270,2
1271,2
1272,2
1273,0
1274,2
1275,1
1276,5
1277,0
1278,10
1279,2
1280,2
1281,2
1282,9
1283,5
1284,0
1285,2
1286,1
1287,9
1288,10
1289,8
1290,8
1291,8
1292,5
1293,4
1294,0
1295,5
1296,2
1297,5
1298,9
1299,0
1300,9
1301,0
1302,5
1303,2
1304,3
1305,9
1306,8
1307,9
1308,2
1309,8
1310,3
1311,3
1312,2
1313,9
1314,0
1315,3
1316,4
1317,8
1318,5
1319,10
1320,9
1321,0
1322,3
1323,9
1324,5
1325,4
1326,5
1327,4
1328,4
1329,3
1330,10
1331,9
1332,2
1333,2
1334,5
1335,4
1336,8
1337,2
1338,9
1339,1
1340,2
1341,8
1342,4
1343,8
1344,9
1345,0
1346,0
1347,7
1348,2
1349,0
1350,2
1351,5
1352,2
1353,2
1354,8
1355,0
1356,5
1357,6
1358,1
1359,9
1360,3
1361,9
1362,5
1363,2
1364,0
1365,7
1366,6
1367,2
1368,5
1369,9
1370,8
1371,9
1372,4
1373,2
1374,9
1375,4
1376,10
1377,5
1378,4
1379,2
1380,4
1381,1
1382,8
1383,3
1384,5
1385,4
1386,2
1387,8
1388,9
1389,8
1390,10
1391,5
1392,2
1393,5
1394,2
1395,0
1396,10
1397,2
1398,8
1399,9
1400,8
1401,9
1402,9
1403,2
1404,9
1405,4
1406,3
1407,5
1408,4
1409,2
1410,0
1411,4
1412,4
1413,8
1414,2
1415,5
1416,5
1417,0
1418,2
1419,0
1420,0
1421,2
1422,3
1423,0
1424,10
1425,2
1426,0
1427,0
1428,2
1429,9
1430,9
1431,7
1432,8
1433,3
1434,8
1435,6
1436,5
1437,5
1438,5
1439,5
1440,9
1441,0
1442,2
1443,8
1444,3
1445,8
1446,8
1447,10
1448,0
1449,0
1450,0
1451,6
1452,8
1453,9
1454,0
1455,3
1456,9
1457,7
1458,4
1459,0
1460,2
1461,5
1462,2
1463,5
1464,2
1465,5
1466,2
1467,9
1468,1
1469,9
1470,2
1471,1
1472,5
1473,5
1474,0
1475,0
1476,9
1477,5
1478,0
1479,6
1480,9
1481,5
1482,9
1483,9
1484,0
1485,2
1486,4
1487,3
1488,8
1489,9
1490,2
1491,0
1492,8
1493,0
1494,10
1495,9
1496,9
1497,2
1498,4
1499,10
1500,8
1501,6
1502,8
1503,9
1504,9
1505,4
1506,4
1507,0
1508,2
1509,5
1510,0
1511,10
1512,1
1513,3
1514,5
1515,9
1516,10
1517,5
1518,8
1519,2
1520,5
1521,8
1522,3
1523,0
1524,4
1525,5
1526,8
1527,0
1528,4
1529,4
1530,10
1531,2
1532,9
1533,0
1534,0
1535,0
1536,0
1537,2
1538,2
1539,9
1540,9
1541,7
1542,2
1543,6
1544,6
1545,6
1546,9
1547,8
1548,10
1549,4
1550,2
1551,8
1552,0
1553,0
1554,5
1555,2
1556,2
1557,0
1558,5
1559,9
1560,0
1561,8
1562,1
1563,9
1564,7
1565,0
1566,9
1567,0
1568,9
1569,2
1570,3
1571,5
1572,10
1573,1
1574,10
1575,2
1576,9
1577,1
1578,1
1579,7
1580,9
1581,0
1582,8
1583,9
1584,8
1585,3
1586,4
1587,5
1588,4
1589,2
1590,2
1591,10
1592,9
1593,10
1594,8
1595,6
1596,10
1597,7
1598,2
1599,10
1600,9
1601,6
1602,5
1603,9
1604,8
1605,8
1606,3
1607,2
1608,0
1609,2
1610,2
1611,8
1612,9
1613,9
1614,3
1615,0
1616,0
1617,9
1618,3
1619,2
1620,4
1621,4
1622,2
1623,3
1624,8
1625,2
1626,0
1627,2
1628,9
1629,1
1630,5
1631,1
1632,5
1633,9
1634,0
1635,3
1636,3
1637,3
1638,5
1639,1
1640,0
1641,2
1642,5
1643,4
1644,2
1645,2
1646,2
1647,8
1648,0
1649,2
1650,0
1651,2
1652,5
1653,2
1654,9
1655,3
1656,1
1657,3
1658,5
1659,0
1660,0
1661,4
1662,1
1663,5
1664,5
1665,0
1666,8
1667,0
1668,1
1669,4
1670,2
1671,0
1672,6
1673,5
1674,9
1675,0
1676,0
1677,0
1678,5
1679,0
1680,7
1681,2
1682,4
1683,3
1684,5
1685,0
1686,2
1687,3
1688,8
1689,3
1690,2
1691,2
1692,5
1693,9
1694,5
1695,9
1696,8
1697,5
1698,9
1699,5
1700,5
1701,9
1702,8
1703,0
1704,0
1705,8
1706,5
1707,10
1708,8
1709,6
1710,3
1711,10
1712,5
1713,4
1714,4
1715,2
1716,2
1717,5
1718,9
1719,5
1720,1
1721,2
1722,4
1723,5
1724,9
1725,9
1726,3
1727,10
1728,2
1729,3
1730,2
1731,2
1732,9
1733,5
1734,0
1735,3
1736,2
1737,6
1738,0
1739,8
1740,5
1741,5
1742,9
1743,9
1744,3
1745,0
1746,10
1747,4
1748,9
1749,9
1750,1
1751,5
1752,3
1753,3
1754,0
1755,5
1756,3
1757,9
1758,5
1759,9
1760,0
1761,4
1762,9
1763,6
1764,2
1765,9
1766,3
1767,5
1768,0
1769,8
1770,5
1771,8
1772,10
1773,10
1774,3
1775,5
1776,10
1777,9
1778,1
1779,3
1780,9
1781,8
1782,2
1783,9
1784,9
1785,2
1786,2
1787,8
1788,0
1789,9
1790,8
1791,3
1792,9
1793,3
1794,4
1795,9
1796,5
1797,5
1798,2
1799,1
1800,1
1801,4
1802,5
1803,8
1804,6
1805,0
1806,9
1807,5
1808,9
1809,4
1810,7
1811,4
1812,5
1813,2
1814,10
1815,2
1816,2
1817,0
1818,2
1819,10
1820,9
1821,10
1822,9
1823,1
1824,9
1825,1
1826,2
1827,9
1828,9
1829,5
1830,0
1831,9
1832,0
1833,2
1834,0
1835,2
1836,3
1837,9
1838,9
1839,2
1840,4
1841,0
1842,4
1843,5
1844,5
1845,5
1846,5
1847,4
1848,0
1849,1
1850,5
1851,5
1852,0
1853,4
1854,7
1855,0
1856,6
1857,0
1858,9
1859,6
1860,2
1861,9
1862,3
1863,0
1864,8
1865,3
1866,2
1867,0
1868,1
1869,3
1870,1
1871,5
1872,4
1873,8
1874,0
1875,0
1876,8
1877,0
1878,5
1879,6
1880,0
1881,8
1882,5
1883,1
1884,4
1885,0
1886,9
1887,5
1888,5
1889,0
1890,4
1891,2
1892,2
1893,7
1894,0
1895,8
1896,3
1897,5
1898,7
1899,5
1900,8
1901,3
1902,3
1903,0
1904,5
1905,2
1906,0
1907,5
1908,9
1909,5
1910,10
1911,3
1912,3
1913,2
1914,9
1915,9
1916,4
1917,2
1918,8
1919,8
1920,8
1921,5
1922,10
1923,0
1924,4
1925,5
